German,Slovak
ich,ja
sie,ona
das,ten
ist,je
du,ty
nicht,nie
die,tá
es,ono
und,a
der,ten
wir,my
was,čo
zu,do
er,on
ein,jeden
in,v
ja,áno
mir,mne
mit,s
wie,ako
den,ten
mich,mňa
auf,na
dass,taký
aber,ale
eine,jedna
so,tak
hat,má
hier,tu
haben,mať
für,pre
sind,sú
war,bol
von,od
wenn,či
dich,teba
ihr,jej
nein,nie
habe,mám
an,na
bin,som (existujem)
noch,stále
nur,iba
da,tam
dir,tebe
einen,jedno
uns,nám/nás
hast,máš
kann,môžem (schopnosť)
gut,dobrý
auch,tiež
schon,už
als,ako
sein,byť
mal,pravidelný
jetzt,teraz
ihn,jeho
dann,potom
aus,z
meine,moja
um,okolo
wird,stáva sa
mein,môj
bist,si (existuješ)
doch,predsa
alles,všetko
weiß,biely/viem
keine,žiadna
oder,alebo
nach,po
nichts,nič
man,muž
muss,musím/musí
werden,stať sa
will,chcem
geht,išiel/išla/išlo
wo,kde
etwas,niečo
mehr,viac
bei,u/pri
also,tak
bitte,prosím
immer,vždy
warum,prečo (dôvod)
vor,pred
können,môcť/vedieť
wieder,znova
sagen,povedať
machen,urobiť
danke,ďakujem/vďaka
sehr,veľmi
alle,všetko
denn,lebo
mann,muž
tun,robiť
gehen,ísť
sehen,pozrieť sa
vielleicht,možno
wer,kto
ihre,jej
diese,táto
euch,vás/vám
über,nad
gibt,dal/dala/dalo
wissen,vedieť (znalosť/informáciu)
deine,tvoja
müssen,musieť
soll,má povinosť
nie,nikdy
wirklich,skutočne
kein,žiadný
viel,veľa
weg,preč
einfach,jednoducho
leben,žiť
hatte,mal/mala/malo
zeit,čas
willst,chceš
kommen,prichádzať
dein,tvoj
heute,dnes
kommt,prichádza
wollen,chcieť
ganz,celkom
weißt,vieš (informáciu)
sicher,určite
frau,žena
bis,až do
wurde,stal sa/stala sa/stalo sa
leid,smútok
na,n/a
kannst,vieš (schopnosť)
macht,robí
zurück,späť
lassen,nechať
hallo,ahoj
gott,boh
zwei,dva
konnte,mohol/mohla/mohlo (schopnosť)
genau,presne
waren,boli sme
lass,nechá
klar,jasný
morgen,ráno
leute,ľudia
vater,otec
schön,pekný
ab,od (čas. údaj budúcnosť)
gerade,práve
tag,deň
sollte,mal som/mal on (povinosť)
sagte,povedal/-a/-o
unsere,náša
jemand,niekto
geld,peniaze
durch,cez